site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,warmed,d3,quema,332,angio,2011,209,14.40385823,0.349168713,291.0249217,0.1909115,33.14976377,2.76729998,0.218248778,18.42511765,57.87774364
cfc,d,warmed,d3,quema,334,angio,2009,250,12.6163393,0.244434232,289.5769185,0.15885675,21.66849041,1.002110378,0.315264112,18.42511765,50.91961342
cfc,d,warmed,d3,quema,335,angio,2009,189,0.490333333,0.00692,271.6666667,0.096594838,28.87666667,2.352930912,0.973387777,18.42511765,2.096034541
cfc,d,warmed,d3,quema,338,angio,2011,165,8.901460523,0.07092919,169.6684123,0.147753875,31.49457933,2.681341915,0.516884468,18.42511765,61.58474474
cfc,d,warmed,d3,queru,342,angio,2009,224,14.5425868,0.269840587,278.597001,0.20343725,28.8129406,1.596088245,0.016742838,14.79021701,60.75959263
cfc,d,warmed,d3,queru,343,angio,2011,167,11.9406692,0.140281127,237.009511,0.158986125,19.29203923,1.156205731,0.192664368,14.79021701,58.05099331
cfc,d,warmed,d3,queru,344,angio,2010,204,11.16666667,0.089966667,168.6666667,0.122971,32.11666667,2.286420053,0.244996429,14.79021701,77.78368993
cfc,d,warmed,d3,queru,345,angio,2009,189,2.33,0.0119,74.8,0.096594838,29.68,2.331758132,0.842463434,14.79021701,57.04243542
cfc,d,warmed,d3,queru,350,angio,2011,269,10.44939863,0.092659047,195.0459233,0.12713375,26.86724283,1.300101775,0.293492541,14.79021701,61.96266404
cfc,d,warmed,d3,queru,352,angio,2010,168,12.80410923,0.350076444,314.9408206,0.188074875,27.22319158,1.296480542,0.134285236,14.79021701,48.03717263
cfc,d,warmed,d3,rhaca,353,angio,2010,204,14.76666667,0.336666667,297,0.122971,32.61,2.140933221,0.059088399,15.694,58.28297389
cfc,d,warmed,d3,rhaca,354,angio,2011,167,5.33895469,0.086574157,284.490987,0.158986125,19.5180607,1.239752491,0.659809183,15.694,21.8907541
cfc,d,warmed,d3,rhaca,356,angio,2009,250,19.06084052,0.339634469,269.6905386,0.15885675,25.3787775,1.207982665,-0.214530427,15.694,82.02564633
cfc,d,warmed,d3,rhaca,357,angio,2010,169,5.943897641,0.121416539,294.3645188,0.177788,35.79876709,2.766407979,0.621263053,15.694,23.64454143
cfc,d,warmed,d3,rhaca,358,angio,2009,189,4.43,0.027,121,0.096594838,28.17,2.076121835,0.71772652,15.694,46.99743173
cfc,d,warmed,d3,rhaca,359,angio,2009,224,10.30269463,0.305175731,317.1578162,0.20343725,30.58084806,1.59163425,0.343526531,15.694,38.42232298
cfc,d,ambient,d4,abiba,367,gymno,2011,269,10.4035421,0.05502564,75.36607513,0.19491175,27.6115125,1.336251791,0.106016258,11.63728334,NA
cfc,d,ambient,d4,abiba,372,gymno,2011,210,4.735396233,NA,NA,0.23907675,28.77850023,1.770631741,0.593084048,11.63728334,NA
cfc,d,warmed,d6,aceru,377,angio,2010,165,9.836422267,0.355543608,331.7025705,0.184970375,23.11075338,1.130533725,0.197387047,12.25549903,35.32463009
cfc,d,ambient,d4,aceru,378,angio,2010,204,7.016666667,0.063366667,198.3333333,0.156046875,25.53666667,2.004490431,0.427467894,12.25549903,40.87419962
cfc,d,ambient,d4,aceru,379,angio,2010,236,11.57214523,0.128578525,227.2894795,0.237835125,29.79880587,1.63665522,0.055758954,12.25549903,58.62227054
cfc,d,ambient,d4,aceru,380,angio,2011,236,6.09312494,0.0798445,254.6617463,0.2674575,26.55804637,2.114153273,0.502825228,12.25549903,27.65485138
cfc,d,ambient,d4,aceru,381,angio,2011,167,3.49145258,0.038030373,240.768776,0.23391575,17.0062599,1.048012973,0.71511135,12.25549903,16.71716053
